"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При вводе невалидных значений логина и пароля всплывает сообщение о неверных данных","6627","Поля Логин и Пароль поменять местами","","Sat Sep 21 20:13:58 NOVT 2024","passed","Sat Sep 21 20:14:05 NOVT 2024","","ru.iteco.fmhandroid.ui.test.AuthTest","ru.iteco.fmhandroid.ui.test.AuthTest","shouldNotLogInWithExchangeLoginAndPassword"
"При ручном вводе невалидного значения минут при создании новости всплывает предупреждение о невалидном значении времени","17809","Создать новость с ручным вводом невалидных минут","","Fri Sep 20 09:51:35 NOVT 2024","passed","Fri Sep 20 09:51:53 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldShowInvalidMinuteWarning"
"","16013","emptyPasswordAuthorizationTest","","Thu Sep 19 14:32:43 NOVT 2024","passed","Thu Sep 19 14:32:59 NOVT 2024","","ru.iteco.fmhandroid.ui.AuthourizationTest","ru.iteco.fmhandroid.ui.AuthourizationTest","emptyPasswordAuthorizationTest"
"При нажатии на кнопку Назад происходит переход на предыдущий экран приложения","14630","Кликабельность кнопки Назад","","Tue Sep 24 00:19:40 NOVT 2024","passed","Tue Sep 24 00:19:54 NOVT 2024","","ru.iteco.fmhandroid.ui.test.AboutUsTest","ru.iteco.fmhandroid.ui.test.AboutUsTest","shouldCheckGoBackToPreviousScreen"
"","22017","emptyLoginAuthorizationTest","","Thu Sep 19 14:30:44 NOVT 2024","passed","Thu Sep 19 14:31:06 NOVT 2024","","ru.iteco.fmhandroid.ui.AuthourizationTest","ru.iteco.fmhandroid.ui.AuthourizationTest","emptyLoginAuthorizationTest"
"При нажатии на блок новостей новости сворачиваются, при повторном нажатии - разворачиваются","13219","Кликабельность кнопки развернуть/свернуть список новостей","","Sat Sep 21 19:13:47 NOVT 2024","passed","Sat Sep 21 19:14:01 NOVT 2024","","ru.iteco.fmhandroid.ui.test.MainScreenTest","ru.iteco.fmhandroid.ui.test.MainScreenTest","shouldShowOrHideNewsBlock"
"При нажатии на кнопку в виде блокнота с карандашом пользователь переходит на вкладку Панель управления","15694","Перейти в панель управления","","Fri Sep 20 09:44:57 NOVT 2024","passed","Fri Sep 20 09:45:13 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldTransferToControlPanel"
"При нажатии на редактирование новости и изменение данных новость отображается с новыми данными","18620","Редактирование новости","","Fri Sep 20 09:49:29 NOVT 2024","passed","Fri Sep 20 09:49:48 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldEditNewsTitleAndDescription"
"При нажатии на кнопку меню в выпадающем списке есть разделы Главная,  Новости, О приложении","13801","Проверка списка вкладок кнопки меню","","Sat Sep 21 19:13:07 NOVT 2024","passed","Sat Sep 21 19:13:21 NOVT 2024","","ru.iteco.fmhandroid.ui.test.MainScreenTest","ru.iteco.fmhandroid.ui.test.MainScreenTest","shouldCheckActionMenuScreenList"
"","13780","exchangeLoginPasswordAuthorizationTest","","Thu Sep 19 14:32:29 NOVT 2024","passed","Thu Sep 19 14:32:43 NOVT 2024","","ru.iteco.fmhandroid.ui.AuthourizationTest","ru.iteco.fmhandroid.ui.AuthourizationTest","exchangeLoginPasswordAuthorizationTest"
"","26204","wrongAuthorizationTest","","Thu Sep 19 14:31:27 NOVT 2024","passed","Thu Sep 19 14:31:53 NOVT 2024","","ru.iteco.fmhandroid.ui.AuthourizationTest","ru.iteco.fmhandroid.ui.AuthourizationTest","wrongAuthorizationTest"
"При нажатии на кнопку в виде человечка пользователь может выйти из приложения","14244","Выход нажатием кнопки Выйти","","Sat Sep 21 19:14:01 NOVT 2024","passed","Sat Sep 21 19:14:15 NOVT 2024","","ru.iteco.fmhandroid.ui.test.MainScreenTest","ru.iteco.fmhandroid.ui.test.MainScreenTest","shouldCheckLogOut"
"При нажатии и подтверждении удаления новость удаляется","16225","Удаление новости","","Fri Sep 20 09:50:08 NOVT 2024","broken","Fri Sep 20 09:50:24 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldDeleteNews"
"Проверка корректности отображения всех элементов Главного экарана","28382","Проверка элементов экрана","","Sat Sep 21 19:14:15 NOVT 2024","passed","Sat Sep 21 19:14:43 NOVT 2024","","ru.iteco.fmhandroid.ui.test.MainScreenTest","ru.iteco.fmhandroid.ui.test.MainScreenTest","shouldCheckMainScreenElements"
"Если отмена не подтверждена, новость не удаляется","16218","Отмена удаления новости","","Fri Sep 20 09:52:29 NOVT 2024","broken","Fri Sep 20 09:52:45 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldCancelDeleting"
"Корректность отображения всех элементов экрана с тематическими цитатами","10419","Проверка элементов экрана с тематическими цитатами","","Sat Sep 21 19:15:06 NOVT 2024","passed","Sat Sep 21 19:15:16 NOVT 2024","","ru.iteco.fmhandroid.ui.test.OurMissionTest","ru.iteco.fmhandroid.ui.test.OurMissionTest","shouldCheckMissionScreenElements"
"","21074","specialCharactersAuthorizationTest","","Thu Sep 19 14:31:06 NOVT 2024","passed","Thu Sep 19 14:31:27 NOVT 2024","","ru.iteco.fmhandroid.ui.AuthourizationTest","ru.iteco.fmhandroid.ui.AuthourizationTest","specialCharactersAuthorizationTest"
